Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Region,Phra Nakhon Si Ayutthaya Province,80  -  84,"10,044","11,151","11,600","12,270","12,908","13,233","13,501","13,785","13,718","13,718","13,587"
Central Region,Phra Nakhon Si Ayutthaya Province,85  -  89,"4,908","5,843","6,092","6,337","6,640","6,851","7,324","7,580","8,090","8,479","8,720"
Central Region,Phra Nakhon Si Ayutthaya Province,90  -  94,"1,640","2,085","2,251","2,447","2,528","2,768","3,003","3,193","3,356","3,461","3,576"
Central Region,Phra Nakhon Si Ayutthaya Province,95  -  99,527,629,675,688,714,775,849,890,"1,016","1,039","1,181"
Central Region,Phra Nakhon Si Ayutthaya Province,100 and over,468,520,565,602,161,217,261,288,332,397,520
Central Region,Phra Nakhon Si Ayutthaya Province,Unknown/lunar Calendar,26,4,4,4,-,-,-,-,-,-,-
Central Region,Phra Nakhon Si Ayutthaya Province,Population Registered in House Registration and Non  -  Thai nationalities,667,732,"1,135","1,331","1,290","1,388","1,485","1,501","1,532","1,552",
Central Region,Phra Nakhon Si Ayutthaya Province,Population Registered in Central House Registration,"5,792","5,865","5,727","5,747","5,378","5,490","5,525","5,675","2,352","2,551",
Central Region,Phra Nakhon Si Ayutthaya Province, Transferring population,"1,381","1,358","1,327","1,537","1,504","1,575","1,613","1,510",275,238,
Central Region,Ang Thong Province,Total,"283,882","283,732","283,568","283,173","282,404","281,187","280,840","279,654","276,584","274,763","272,587"
Central Region,Ang Thong Province,0 - 4,"14,755","14,488","14,095","13,692","13,155","12,408","11,805","11,211","10,695","10,056","9,448"
Central Region,Ang Thong Province,5-Sep,"15,547","15,453","15,286","15,112","15,039","14,855","14,611","14,253","13,730","13,168","12,662"
Central Region,Ang Thong Province,Oct-14,"16,336","15,946","15,884","15,725","15,610","15,555","15,520","15,311","15,198","15,025","14,891"
Central Region,Ang Thong Province,15  -  19,"19,579","19,181","18,476","17,865","17,072","16,239","15,889","15,831","15,663","15,512","15,484"
